iter	Passed	Remaining
688	8573	1381
689	8584	1368
690	8596	1355
691	8607	1343
692	8619	1330
693	8631	1318
694	8644	1305
695	8655	1293
696	8669	1281
697	8680	1268
698	8697	1256
699	8713	1244
700	8729	1232
701	8745	1220
702	8764	1209
703	8780	1197
704	8796	1185
705	8813	1173
706	8829	1161
707	8845	1149
708	8864	1137
709	8879	1125
710	8894	1113
711	8911	1101
712	8927	1089
713	8943	1077
714	8957	1064
715	8970	1052
716	8983	1039
717	8995	1027
718	9006	1014
719	9017	1001
720	9027	989
721	9039	976
722	9050	963
723	9062	951
724	9073	938
725	9084	926
726	9097	913
727	9109	900
728	9122	888
729	9134	875
730	9145	863
731	9157	850
732	9169	838
733	9182	825
734	9193	813
735	9204	800
736	9216	787
737	9228	775
738	9239	762
739	9251	750
740	9276	738
741	9294	726
742	9307	714
743	9320	701
744	9331	688
745	9345	676
746	9358	664
747	9373	651
748	9389	639
749	9405	627
750	9423	614
751	9438	602
752	9455	590
753	9472	577
754	9488	565
755	9504	553
756	9521	540
757	9539	528
758	9551	515
759	9563	503
760	9575	490
761	9586	478
762	9598	465
763	9609	452
764	9622	440
765	9633	427
766	9652	415
767	9673	403
768	9692	390
769	9709	378
770	9727	365
771	9745	353
772	9761	340
773	9782	328
774	9798	316
775	9814	303
776	9831	291
777	9847	278
778	9865	265
779	9881	253
780	9895	240
781	9909	228
782	9932	215
783	9960	203
784	9979	190
785	10000	178
786	10016	165
787	10030	152
788	10044	140
789	10061	127
790	10073	114
791	10084	101
792	10096	89
793	10108	76
794	10123	63
795	10136	50
796	10150	38
797	10162	25
798	10175	12
799	10188	0
